delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost
DL00202,O01057,D028,V054,H06,23/03/2025 12:38,02:58.6,Delayed,19.310000000000002,2,0,3.67,17.41
DL00203,O00901,D107,V086,H08,08/12/2025 9:18,36:10.6,Delayed,9.36,2,0,4.52,7.69
DL00204,O00025,D108,V062,H08,10/01/2025 22:15,19:27.7,OnTime,11.32,1,0,4.64,15.67
DL00205,O00375,D039,V024,H03,17/09/2024 23:26,13:34.4,OnTime,7.16,3,0,4.17,12.58
DL00206,O00634,D045,V107,H02,07/07/2024 14:19,45:48.0,OnTime,17.47,1,0,4.49,15.56
DL00207,O01035,D121,V114,H04,17/03/2024 0:24,31:20.5,OnTime,18.52,1,0,4.4,11.28
DL00208,O00964,D087,V018,H01,13/04/2024 3:27,30:31.5,Failed,21.73,0,1,3.09,13.36
DL00209,O01154,D057,V107,H06,05/09/2024 16:29,,OnTime,11.22,1,0,4.31,13.88
DL00210,O01191,D142,V016,H02,19/02/2024 19:24,40:57.5,Delayed,16.24,3,0,3.43,13.43
DL00211,O01017,D102,V006,H08,30/12/2025 15:47,01:17.4,OnTime,12.39,1,0,4.57,13.18
DL00212,O01105,D142,V041,H01,18/06/2025 18:46,15:30.2,Delayed,13.85,1,1,4.29,11.45
DL00213,O00807,D025,V073,H02,16/10/2025 7:59,10:20.2,OnTime,8.57,0,0,4.33,10.42
DL00214,O00552,D096,V010,H04,09/11/2025 3:20,33:06.8,OnTime,6.09,0,0,3.02,7.3
DL00215,O01042,D100,V102,H06,26/08/2024 13:15,07:20.1,Delayed,22,1,0,4.79,19.64
DL00216,O00167,D146,V019,H07,27/04/2024 21:19,51:44.0,OnTime,30.01,0,0,3.37,18.54
DL00217,O01194,D020,V030,H01,08/08/2024 1:50,09:07.2,OnTime,22.61,1,0,4.41,12.17
DL00218,O00136,D149,V010,H03,27/11/2024 17:12,54:50.9,Delayed,3.51,1,0,3.27,4.15
DL00219,O00513,D087,V118,H07,07/08/2024 5:33,00:38.6,OnTime,14.41,1,0,4.59,12.65
DL00220,O00859,D079,V107,H08,21/03/2024 3:17,59:51.0,OnTime,33.71,4,0,5,13.79
DL00221,O00594,D151,V092,H02,11/03/2024 21:43,58:44.2,OnTime,12.09,3,0,3.25,11.03
DL00222,O01010,D121,V045,H06,18/05/2024 21:01,50:57.9,OnTime,9.72,0,0,5,8.53
DL00223,O00740,D155,V085,H08,22/05/2024 15:11,28:55.8,Delayed,12.99,0,0,3.19,12.3
DL00224,O00960,D034,V040,H07,20/01/2025 3:14,27:00.0,OnTime,11.88,0,0,3.79,14.2
DL00225,O00056,D150,V044,H05,05/10/2025 20:44,53:02.1,OnTime,6.21,2,0,3.98,14.94
DL00226,O00823,D119,V030,H06,05/02/2025 21:33,56:16.0,Delayed,9.28,0,0,2.17,10.29
DL00227,O01138,D083,V114,H04,08/02/2024 18:51,38:04.0,OnTime,16.490000000000002,2,0,4.65,13.68
DL00228,O01094,D052,V085,H04,22/08/2024 11:22,34:21.0,OnTime,6.68,2,0,4.05,11.59
DL00229,O00518,D050,V036,H02,11/12/2025 2:26,40:02.5,OnTime,14.89,0,0,3.97,13.89
DL00230,O00303,D055,V037,H06,22/07/2025 5:41,56:58.4,Failed,14.85,1,0,2.34,13.21
DL00231,O00670,D014,V046,H05,27/03/2024 23:40,54:39.5,OnTime,13.07,0,0,4.72,3.86
DL00232,O00397,D050,V101,H06,18/06/2025 19:47,18:18.2,OnTime,29.8,1,0,3.71,14.58
DL00233,O01173,D094,V020,H04,08/02/2024 11:24,48:05.1,OnTime,5.36,0,0,4.5,11.41
DL00234,O00340,D056,V028,H01,10/02/2025 3:37,18:46.0,OnTime,13.52,1,0,2.88,6.77
DL00235,O00507,D022,V109,H05,13/12/2025 6:42,05:08.1,Failed,18.87,0,0,3.68,19.15
DL00236,O00013,D163,V009,H07,29/03/2024 22:48,39:02.4,OnTime,20.119999999999997,2,0,3.74,17.02
DL00237,O00082,D135,V099,H06,30/07/2024 5:49,01:15.8,OnTime,12.83,1,0,3.62,20.26
DL00238,O00979,D146,V077,H04,08/01/2025 5:27,41:00.5,OnTime,14.2,2,0,4.02,13.01
DL00239,O00052,D019,V010,H06,14/08/2024 9:02,09:18.0,Delayed,13.6,1,0,3.72,16
DL00240,O01169,D131,V070,H06,06/11/2025 15:56,10:49.3,Failed,38.25,1,0,3.34,21.21
DL00241,O00187,D155,V084,H07,30/12/2024 18:28,43:09.8,OnTime,10.78,0,0,5,15.96
DL00242,O00119,D137,V108,H07,25/05/2024 22:51,01:37.8,Delayed,4.26,2,0,1.93,17.11
DL00243,O00544,D099,V079,H04,14/06/2024 20:33,11:53.7,OnTime,14.39,1,0,4.52,10.27
DL00244,O00610,D024,V077,H03,21/07/2024 19:36,48:27.4,OnTime,6.55,0,0,4.87,10.1
DL00245,O01206,D047,V061,H01,16/11/2024 0:30,42:19.8,OnTime,16.57,1,0,4.28,17.58
DL00246,O00603,D016,V061,H05,25/02/2024 1:31,51:52.8,OnTime,20.51,0,0,4.05,12.98
DL00247,O00881,D056,V100,H08,31/12/2024 12:39,10:16.8,OnTime,11.09,0,0,,5.77
