incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours
I0026,DL00254,RouteDeviation,29/12/2024 16:12,High,Closed,16.8
I0027,DL00474,VehicleFault,25/02/2025 4:16,Medium,Closed,4.3
I0028,DL00479,RouteDeviation,03/11/2024 4:12,Low,Closed,21.2
I0029,DL00198,VehicleFault,08/12/2024 8:07,Medium,Open,11.8
I0030,DL00448,RouteDeviation,30/08/2024 15:06,Low,Escalated,20.9
I0031,DL00587,ProofMissing,12/01/2024 10:43,Low,Escalated,16.7
I0032,DL00181,VehicleFault,26/08/2024 2:02,Low,Open,11.3
I0033,DL00694,BatteryAlert,31/03/2024 9:38,Medium,Open,4.3
I0034,DL00684,AppSyncError,06/02/2024 14:01,Medium,PendingVendor,23.7
I0035,DL00882,AppSyncError,26/06/2024 15:00,Low,Closed,0.8
I0036,DL00272,VehicleFault,02/09/2025 17:36,Low,Closed,7.8
I0037,DL00938,TemperatureIssue,04/04/2024 6:40,High,Closed,13.3
I0038,DL00032,ProofMissing,29/01/2025 6:31,Medium,Closed,5.2
I0039,DL00208,SafetyNearMiss,13/04/2024 5:39,High,Closed,2.6
I0040,DL00573,ProofMissing,08/05/2024 0:38,Medium,Escalated,8.1
I0041,DL00072,SafetyNearMiss,20/11/2025 7:56,Medium,Closed,17.3
I0042,DL00547,TemperatureIssue,07/10/2025 21:18,Medium,Closed,22.7
I0043,DL00009,AppSyncError,12/04/2024 22:42,Low,Open,20.1
I0044,DL00590,ProofMissing,31/08/2024 6:13,Critical,Closed,3.2
I0045,DL00341,BatteryAlert,14/11/2024 1:36,Medium,Open,12.2
I0046,DL00014,ProofMissing,07/05/2024 14:02,High,PendingVendor,6.9
I0047,DL00919,SafetyNearMiss,26/12/2025 23:23,Medium,Open,23.6
I0048,DL00265,RouteDeviation,28/06/2024 12:42,Low,Closed,2.2
I0049,DL00493,BatteryAlert,09/08/2025 21:45,Medium,Closed,24.3
I0050,DL00207,CustomerNoShow,17/03/2024 1:48,High,Open,20.9
I0051,DL00365,CustomerNoShow,05/09/2025 9:36,Low,PendingVendor,24.8
I0052,DL00690,VehicleFault,12/12/2024 7:51,Medium,Open,21.6
I0053,DL00864,ProofMissing,27/10/2025 18:48,Critical,Escalated,11.9
I0054,DL00324,ProofMissing,14/08/2024 7:43,Low,Closed,17
I0055,DL00633,RouteDeviation,11/12/2024 6:59,High,Open,21.5
I0056,DL00788,VehicleFault,07/05/2025 5:14,Low,PendingVendor,14.5
I0057,DL00766,ProofMissing,27/01/2025 7:52,High,Open,6.7
I0058,DL00285,VehicleFault,22/06/2025 16:15,Low,Open,14.9
I0059,DL00670,VehicleFault,30/08/2024 20:57,High,Closed,15.7
I0060,DL00080,VehicleFault,14/10/2025 11:03,Low,Closed,1
I0061,DL00121,TemperatureIssue,14/03/2024 4:34,Medium,Open,20.1
I0062,DL00481,TemperatureIssue,14/03/2024 18:27,Low,Closed,23.5
I0063,DL00669,RouteDeviation,01/06/2025 6:53,Low,Open,13.3
I0064,DL00366,CustomerNoShow,24/07/2025 5:26,Medium,Closed,18.6
I0065,DL00435,ProofMissing,13/09/2024 19:32,Low,Closed,10.3
I0066,DL00042,RouteDeviation,04/10/2024 2:46,Low,Closed,28
I0067,DL00096,VehicleFault,18/03/2025 18:01,Medium,Closed,2.9
I0068,DL00799,CustomerNoShow,25/04/2024 20:37,Low,Open,16.6
I0069,DL00592,TemperatureIssue,19/01/2024 20:43,Medium,Closed,9
I0070,DL00250,CustomerNoShow,27/08/2024 18:10,Low,Open,9.5
I0071,DL00672,ProofMissing,27/05/2025 14:37,Critical,Closed,8.2
I0072,DL00503,VehicleFault,15/03/2024 1:30,Medium,Closed,1.4
I0073,DL00725,RouteDeviation,29/11/2025 2:34,High,Open,3.2
I0074,DL00256,AppSyncError,22/01/2025 16:01,Medium,PendingVendor,21.7
I0075,DL00568,ProofMissing,11/11/2024 10:10,Low,Closed,4.5
I0076,DL00382,RouteDeviation,05/12/2024 22:19,Medium,Closed,3
I0077,DL00455,ProofMissing,12/04/2024 9:41,Medium,Closed,14.2
I0078,DL00562,BatteryAlert,14/12/2024 13:04,Low,Closed,4.7
I0079,DL00187,ProofMissing,05/03/2024 23:18,High,Open,1.1
I0080,DL00336,ProofMissing,21/02/2025 18:38,Critical,Open,27.8
I0081,DL00224,AppSyncError,20/01/2025 4:36,High,Closed,20.3
I0082,DL00131,BatteryAlert,05/07/2025 13:14,High,Escalated,13
I0083,DL00820,ProofMissing,13/12/2024 20:29,High,PendingVendor,9
I0084,DL00478,TemperatureIssue,31/01/2024 20:03,High,PendingVendor,0
I0085,DL00928,RouteDeviation,31/10/2025 1:01,Low,PendingVendor,6
I0086,DL00247,CustomerNoShow,31/12/2024 14:48,Low,PendingVendor,7.2
I0087,DL00148,ProofMissing,31/12/2025 11:28,Medium,Open,
I0088,DL00348,ProofMissing,08/10/2024 2:28,High,Escalated,2.2
I0089,DL00915,RouteDeviation,28/11/2024 15:09,High,Closed,13.8
I0090,DL00576,ProofMissing,17/11/2024 3:39,High,Closed,2.6
I0091,DL00239,TemperatureIssue,14/08/2024 9:11,Medium,Closed,23.1
I0092,DL00847,ProofMissing,22/12/2024 20:55,High,Open,
I0093,DL00056,AppSyncError,22/10/2024 23:20,Medium,PendingVendor,12.3
I0094,DL00887,CustomerNoShow,10/06/2025 0:31,High,PendingVendor,12.5
I0095,DL00317,ProofMissing,15/12/2024 15:29,Low,Closed,7.9
I0096,DL00748,CustomerNoShow,30/05/2025 4:50,Low,PendingVendor,7.4
I0097,DL00629,CustomerNoShow,23/05/2024 9:17,Medium,Closed,0.2
I0098,DL00810,TemperatureIssue,09/03/2025 18:58,Critical,PendingVendor,2.8
I0099,DL00309,VehicleFault,29/06/2024 1:41,Critical,Open,2.8
I0100,DL00306,CustomerNoShow,15/12/2024 22:19,High,Closed,0.4
I0101,DL00578,VehicleFault,21/02/2024 9:51,Low,PendingVendor,10.9
I0102,DL00857,VehicleFault,29/10/2025 19:52,Critical,PendingVendor,26.7
I0103,DL00655,ProofMissing,10/09/2025 4:24,Low,Closed,41.7
I0104,DL00094,AppSyncError,26/05/2025 23:23,Medium,Open,4.8
I0105,DL00913,CustomerNoShow,18/05/2024 9:18,Critical,Open,10
I0106,DL00754,RouteDeviation,21/03/2025 15:11,Medium,PendingVendor,10.2
I0107,DL00612,BatteryAlert,05/12/2024 5:43,Low,Closed,9.7
I0108,DL00265,CustomerNoShow,28/06/2024 13:27,High,Closed,
I0109,DL00760,RouteDeviation,23/07/2024 16:26,High,Open,20.3
I0110,DL00855,TemperatureIssue,08/01/2025 13:40,Medium,Closed,31.4
I0111,DL00403,SafetyNearMiss,02/11/2025 11:15,Low,Escalated,
I0112,DL00627,BatteryAlert,19/03/2024 13:29,High,Open,1.7
I0113,DL00562,AppSyncError,14/12/2024 11:33,Medium,Closed,16.8
I0114,DL00373,RouteDeviation,20/01/2024 7:06,Low,Closed,20.6
I0115,DL00027,BatteryAlert,01/01/2024 5:05,Critical,Open,15.4
I0116,DL00019,SafetyNearMiss,26/06/2024 0:10,Critical,Escalated,12.1
I0117,DL00911,RouteDeviation,17/04/2025 18:32,High,PendingVendor,0.6
I0118,DL00778,SafetyNearMiss,28/09/2024 20:47,High,Escalated,13.9
I0119,DL00273,AppSyncError,16/10/2025 5:16,High,Closed,3.7
I0120,DL00169,VehicleFault,26/04/2025 10:06,High,Closed,0.4
I0121,DL00859,AppSyncError,21/09/2024 11:35,Medium,Closed,4.9
I0122,DL00518,RouteDeviation,15/04/2025 3:13,High,Open,18.1
I0123,DL00939,CustomerNoShow,10/01/2025 20:08,Medium,Closed,20.1
I0124,DL00324,TemperatureIssue,14/08/2024 7:12,Critical,Closed,4.9
I0125,DL00511,RouteDeviation,30/12/2025 9:16,Medium,Open,11.4
I0126,DL00688,RouteDeviation,24/10/2025 17:22,Medium,Closed,6.7
I0127,DL00404,TemperatureIssue,03/04/2024 5:31,Low,Escalated,13.1
I0128,DL00743,RouteDeviation,01/05/2025 5:28,Low,Open,19.5
I0129,DL00456,ProofMissing,16/09/2024 22:56,Medium,Closed,15.5
I0130,DL00496,CustomerNoShow,23/04/2024 22:00,Critical,Open,14.6
I0131,DL00577,TemperatureIssue,12/01/2024 22:06,Medium,Closed,12
I0132,DL00768,TemperatureIssue,29/01/2024 5:15,Medium,Closed,4.9
I0133,DL00523,VehicleFault,26/05/2024 19:46,Critical,Closed,14.2
I0134,DL00423,BatteryAlert,05/10/2025 16:20,Medium,Open,3.8
I0135,DL00011,ProofMissing,02/02/2024 4:42,Medium,Open,
I0136,DL00414,CustomerNoShow,12/03/2024 18:37,High,Closed,16.1
I0137,DL00525,BatteryAlert,22/04/2024 8:02,Low,Closed,1
I0138,DL00050,AppSyncError,05/09/2025 5:30,Medium,Escalated,
I0139,DL00126,ProofMissing,09/04/2024 17:00,Medium,PendingVendor,11.4
I0140,DL00790,RouteDeviation,26/10/2024 16:14,High,Open,10.9
I0141,DL00294,RouteDeviation,20/10/2025 3:35,Low,Closed,18
I0142,DL00192,SafetyNearMiss,18/08/2025 23:10,Medium,Escalated,14.4
I0143,DL00848,VehicleFault,12/02/2024 16:28,High,Open,14.5
I0144,DL00288,CustomerNoShow,20/06/2024 13:44,Medium,Open,5.5
I0145,DL00418,BatteryAlert,02/11/2024 9:19,Critical,Closed,10.2
I0146,DL00291,ProofMissing,27/11/2024 6:22,Low,Closed,1.5
I0147,DL00771,CustomerNoShow,11/08/2024 4:09,Medium,Closed,19.6
I0148,DL00247,RouteDeviation,31/12/2024 13:52,Low,Closed,18.6
I0149,DL00944,CustomerNoShow,10/01/2024 8:12,Medium,Closed,3.1
I0150,DL00714,ProofMissing,06/10/2025 8:55,Medium,PendingVendor,3.1
I0151,DL00569,CustomerNoShow,07/11/2025 2:53,Low,Open,24.2
I0152,DL00548,AppSyncError,25/06/2024 12:34,Medium,PendingVendor,17.6
I0153,DL00766,AppSyncError,27/01/2025 7:51,Medium,Closed,10.5
I0154,DL00603,BatteryAlert,16/03/2024 9:54,Medium,Open,13
I0155,DL00507,RouteDeviation,30/04/2025 1:04,High,Open,18.4
I0156,DL00772,VehicleFault,24/10/2024 9:55,High,Escalated,10.8
I0157,DL00307,TemperatureIssue,22/09/2024 19:02,Medium,Closed,7.2
I0158,DL00308,CustomerNoShow,16/01/2024 2:49,High,Closed,4.6
I0159,DL00776,VehicleFault,19/11/2024 17:18,Medium,Closed,1.4
I0160,DL00806,BatteryAlert,28/12/2025 15:15,Low,Closed,10.2
I0161,DL00402,AppSyncError,04/12/2024 2:29,Medium,PendingVendor,8.9
I0162,DL00231,TemperatureIssue,28/03/2024 2:07,Medium,Open,12.9
I0163,DL00062,AppSyncError,24/02/2024 19:54,Medium,Open,4.9
I0164,DL00844,RouteDeviation,03/01/2025 20:43,Critical,Closed,15.9
I0165,DL00057,VehicleFault,09/12/2024 12:50,Medium,Open,0.1
I0166,DL00529,TemperatureIssue,01/09/2024 9:50,High,Escalated,8.1
I0167,DL00364,BatteryAlert,14/01/2024 4:25,Low,PendingVendor,15.2
I0168,DL00820,TemperatureIssue,13/12/2024 20:11,High,Closed,7.1
I0169,DL00443,CustomerNoShow,01/01/2024 10:12,Low,PendingVendor,9.1
I0170,DL00009,BatteryAlert,12/04/2024 22:24,Medium,Closed,7.4
I0171,DL00900,VehicleFault,02/10/2024 17:28,High,Open,18.4
I0172,DL00508,RouteDeviation,19/08/2024 21:21,High,PendingVendor,4.3
I0173,DL00300,CustomerNoShow,25/09/2024 14:37,Medium,Open,17.9
I0174,DL00882,BatteryAlert,26/06/2024 16:01,Medium,Closed,
I0175,DL00095,RouteDeviation,08/01/2024 2:06,Medium,Open,18.6
I0176,DL00262,VehicleFault,09/04/2025 22:47,High,Closed,
I0177,DL00068,RouteDeviation,19/02/2024 18:08,Critical,Escalated,18.1
I0178,DL00500,CustomerNoShow,01/09/2024 6:27,Low,PendingVendor,20.1
I0179,DL00907,BatteryAlert,17/04/2024 3:46,Low,Closed,6.9
I0180,DL00001,ProofMissing,18/06/2024 11:38,High,Open,5.6
I0181,DL00254,CustomerNoShow,29/12/2024 16:47,Low,Open,25.3
I0182,DL00476,AppSyncError,06/05/2024 1:19,Medium,PendingVendor,10.3
I0183,DL00783,ProofMissing,20/02/2025 1:08,Low,Closed,11.8
I0184,DL00688,BatteryAlert,24/10/2025 20:34,Medium,Open,7.2
I0185,DL00446,RouteDeviation,21/10/2025 3:58,High,Closed,5.1
I0186,DL00933,ProofMissing,23/12/2025 14:27,Medium,Open,16.3
I0187,DL00404,ProofMissing,03/04/2024 5:29,High,Closed,5.6
I0188,DL00274,BatteryAlert,13/01/2025 7:02,Low,Open,11.5
I0189,DL00596,RouteDeviation,22/06/2025 1:34,High,Escalated,23.7
I0190,DL00804,ProofMissing,09/11/2025 6:08,Medium,Closed,7.2
I0191,DL00358,AppSyncError,22/11/2025 3:12,Medium,Closed,12.9
I0192,DL00922,BatteryAlert,08/03/2024 22:15,Medium,Closed,0.1
I0193,DL00469,VehicleFault,10/04/2025 3:52,High,Open,9.1
I0194,DL00455,CustomerNoShow,12/04/2024 12:07,Low,Escalated,6
I0195,DL00810,TemperatureIssue,09/03/2025 20:27,Medium,Escalated,16.3
I0196,DL00013,VehicleFault,26/01/2025 10:52,Medium,Closed,0.2
I0197,DL00747,VehicleFault,10/11/2025 7:11,Medium,PendingVendor,11.2
I0198,DL00765,ProofMissing,01/01/2024 6:44,Medium,Open,3.1
I0199,DL00190,ProofMissing,01/11/2025 1:32,Medium,Open,33.8
I0200,DL00938,TemperatureIssue,04/04/2024 5:43,Low,PendingVendor,16.7
I0201,DL00170,RouteDeviation,04/06/2025 5:25,Medium,PendingVendor,8.2
I0202,DL00661,ProofMissing,01/12/2024 2:55,High,Closed,5
I0203,DL00475,SafetyNearMiss,03/06/2024 11:44,Medium,Open,13.2
I0204,DL00553,AppSyncError,03/07/2024 17:43,Low,Open,27.4
I0205,DL00253,ProofMissing,30/09/2024 8:49,Low,Closed,13.5
I0206,DL00331,AppSyncError,23/11/2025 23:51,Low,Escalated,9.2
I0207,DL00947,CustomerNoShow,25/10/2024 17:54,Low,Open,14.7
I0208,DL00225,ProofMissing,05/10/2025 23:13,Medium,Closed,
I0209,DL00434,ProofMissing,28/09/2024 12:08,High,Closed,2.3
I0210,DL00650,VehicleFault,29/11/2025 8:07,Medium,Open,4
I0211,DL00943,RouteDeviation,17/03/2024 18:41,Low,Escalated,11.6
I0212,DL00391,RouteDeviation,05/11/2024 8:57,Medium,Closed,2.3
I0213,DL00855,BatteryAlert,08/01/2025 14:27,Medium,Open,17.7
I0214,DL00928,AppSyncError,30/10/2025 23:54,High,Closed,
I0215,DL00299,RouteDeviation,29/04/2024 23:25,Critical,Open,8.6
I0216,DL00094,BatteryAlert,26/05/2025 23:41,Medium,Closed,
I0217,DL00205,RouteDeviation,18/09/2024 0:46,Low,Closed,19.2
I0218,DL00463,BatteryAlert,17/09/2025 2:24,Medium,PendingVendor,18.1
I0219,DL00739,AppSyncError,03/11/2025 12:11,Medium,PendingVendor,5.5
I0220,DL00894,BatteryAlert,18/11/2025 13:08,Medium,Closed,12.7
I0221,DL00329,CustomerNoShow,01/10/2025 22:29,Critical,Closed,3.2
I0222,DL00706,AppSyncError,12/07/2025 6:38,Medium,PendingVendor,
I0223,DL00545,BatteryAlert,16/06/2024 8:16,High,Escalated,17.3
I0224,DL00325,VehicleFault,06/11/2024 13:19,Medium,Open,8.4
I0225,DL00447,VehicleFault,12/04/2025 21:13,Medium,PendingVendor,1.6
I0226,DL00248,TemperatureIssue,22/08/2025 18:22,Low,Closed,12.5
I0227,DL00139,VehicleFault,05/08/2025 4:36,Low,Open,7.1
I0228,DL00038,BatteryAlert,26/10/2025 18:53,Medium,Closed,11.8
I0229,DL00557,VehicleFault,19/11/2024 16:54,Medium,PendingVendor,12.8
I0230,DL00578,TemperatureIssue,21/02/2024 9:47,Medium,Escalated,1.3
I0231,DL00272,CustomerNoShow,02/09/2025 16:25,Low,Open,2.5
I0232,DL00464,TemperatureIssue,02/05/2024 18:19,Medium,PendingVendor,29.3
I0233,DL00673,SafetyNearMiss,29/09/2024 11:20,High,PendingVendor,0.4
I0234,DL00194,CustomerNoShow,07/08/2025 12:06,Critical,Closed,10.2
I0235,DL00339,AppSyncError,22/06/2025 12:40,High,Open,2.1
I0236,DL00108,CustomerNoShow,08/11/2024 5:01,Low,Closed,11.7
I0237,DL00397,ProofMissing,10/03/2024 18:24,Critical,Closed,11.8
I0238,DL00336,SafetyNearMiss,21/02/2025 18:42,Low,Closed,4
I0239,DL00239,CustomerNoShow,14/08/2024 12:07,Medium,Escalated,10.8
I0240,DL00213,CustomerNoShow,16/10/2025 10:42,Low,Closed,14.9
I0241,DL00189,CustomerNoShow,05/11/2024 13:46,High,Escalated,21
I0242,DL00798,AppSyncError,01/08/2024 0:27,Low,Closed,16.5
I0243,DL00052,CustomerNoShow,06/05/2025 14:07,Medium,Closed,25.6
I0244,DL00421,AppSyncError,06/07/2025 0:57,Critical,Closed,10.3
I0245,DL00347,ProofMissing,09/12/2024 2:59,Low,Open,20.8
I0246,DL00720,TemperatureIssue,13/10/2025 23:28,High,Escalated,8.2
I0247,DL00707,RouteDeviation,12/11/2025 10:47,Critical,Open,
I0248,DL00371,BatteryAlert,31/03/2024 9:36,High,Open,18.5
I0249,DL00404,SafetyNearMiss,03/04/2024 4:11,Medium,PendingVendor,6.4
I0250,DL00378,CustomerNoShow,14/05/2025 2:12,High,Closed,33.9
I0251,DL00135,CustomerNoShow,28/07/2025 6:36,High,Escalated,
I0252,DL00016,VehicleFault,12/06/2025 2:24,Medium,PendingVendor,3.8
I0253,DL00388,ProofMissing,11/12/2024 14:31,Low,PendingVendor,21
I0254,DL00275,VehicleFault,09/02/2025 20:10,High,Closed,23.6
I0255,DL00468,BatteryAlert,20/04/2025 7:56,High,Escalated,22.9
I0256,DL00073,TemperatureIssue,23/07/2025 7:40,Critical,Closed,20
I0257,DL00075,VehicleFault,06/08/2024 6:54,Medium,Closed,3
I0258,DL00036,AppSyncError,09/11/2024 1:48,Low,Open,19.9
I0259,DL00703,ProofMissing,24/04/2025 11:49,Critical,Open,9.6
I0260,DL00800,VehicleFault,20/04/2024 4:36,Low,PendingVendor,6.1
I0261,DL00599,CustomerNoShow,20/02/2025 9:24,Critical,Closed,19
I0262,DL00674,SafetyNearMiss,16/01/2024 7:01,Low,Open,6.5
I0263,DL00945,RouteDeviation,24/01/2025 7:15,Low,Closed,2.5
I0264,DL00772,VehicleFault,24/10/2024 7:59,High,Escalated,21.2
I0265,DL00734,CustomerNoShow,20/01/2025 1:08,High,Open,2.1
I0266,DL00608,VehicleFault,28/12/2024 18:53,Medium,Open,4.9
I0267,DL00874,AppSyncError,08/03/2025 8:30,High,Escalated,15.2
I0268,DL00108,RouteDeviation,08/11/2024 1:48,Low,Open,17.5
I0269,DL00153,RouteDeviation,05/08/2024 11:52,Low,Closed,23.3
I0270,DL00539,TemperatureIssue,13/05/2024 2:53,Low,Escalated,8.4
I0271,DL00755,RouteDeviation,05/01/2024 7:16,Medium,Open,
I0272,DL00050,BatteryAlert,05/09/2025 5:18,High,Closed,20.3
I0273,DL00369,CustomerNoShow,12/02/2024 23:47,Medium,Closed,15.8
I0274,DL00561,TemperatureIssue,20/07/2024 8:57,Critical,Closed,2.7
I0275,DL00804,RouteDeviation,09/11/2025 6:06,Low,Closed,16.9
I0276,DL00472,SafetyNearMiss,01/12/2025 22:02,High,PendingVendor,6.5
I0277,DL00116,CustomerNoShow,14/10/2025 15:24,Low,Closed,18.1
I0278,DL00725,TemperatureIssue,29/11/2025 0:45,Low,Closed,17.8
I0279,DL00089,AppSyncError,01/04/2025 17:37,Low,Open,20.1
I0280,DL00219,BatteryAlert,07/08/2024 6:39,Medium,PendingVendor,0.4
