vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version
V096,CargoVan,East,21/08/2025 7:26,85.1,193315,InRepair,v2.0
V097,EV,Ctr,12/11/2024 12:56,92.1,18680,Active,v2.1
V098,Diesel,WEST,29/12/2025 15:01,69.7,73011,Active,v2.1
V099,Hybrid,SOUTH,06/09/2024 2:11,65.8,92896,Active,v2.0
V100,CargoVan,East,23/06/2024 11:24,60.1,31876,Active,v2.0
V101,Hybrid,NORTH,10/07/2024 0:56,84.8,106932,InRepair,v2.1
V102,EV,West,24/10/2024 12:35,77,198326,Active,v2.0
V103,Hybrid,North,06/01/2025 3:21,100,181609,InRepair,v2.1
V104,EV,EAST,30/06/2025 12:21,73.9,91441,Active,v2.1
V105,EV,Ctr,16/02/2025 20:04,,149291,Active,v2.1
V106,CargoVan,NORTH,06/05/2024 13:52,74.9,93084,Active,v2.1
V107,CargoVan,NORTH,25/12/2024 17:15,87.9,96239,Active,v2.0
V108,Diesel,AIRPORT,31/01/2025 6:29,54.6,141290,InRepair,v1.9
V109,Hybrid,AIRPORT,17/10/2024 11:15,60.6,193552,InRepair,v2.1
V110,EV,East,22/03/2025 1:17,85.1,63717,Active,v2.1
V111,EV,WEST,11/11/2025 0:21,66.3,208147,Active,v2.1
V112,EV,South,08/06/2024 7:45,94.1,19121,InRepair,v2.1
V113,Hybrid,Central,12/05/2024 2:12,58.9,52725,InRepair,v1.9
V114,Hybrid,North,03/10/2024 17:53,90,84649,Active,v2.2
V115,Diesel,South,10/05/2024 17:28,57.9,85919,Active,v2.2
V116,Diesel,EAST,23/04/2025 7:10,62.7,71822,Active,v2.1
V117,Hybrid,SOUTH,11/01/2025 11:13,65.5,163683,Scheduled,v2.2
V118,Diesel,Riverside,18/02/2025 12:40,78,145165,Active,v2.1
V119,EV,RiverSide,17/08/2025 6:19,67.6,215407,InRepair,v2.1
V120,EV,CENTRAL,02/05/2025 16:13,73.6,192246,Active,v2.0
