event_id,customer_id,order_id,event_timestamp,event_type,session_id,device_type,zone_context,api_latency_ms,success_flag
AE00067,C0113,O00822,28/04/2025 1:07,eta_refresh,S57776,Android,North,594,1
AE00068,C0130,O00096,06/04/2024 13:41,chat_opened,S29137,Android,Ctr,60,1
AE00069,C0303,,13/02/2025 15:13,payment_retry,S60656,Android,South,637,0
AE00070,C0063,O00689,11/06/2025 6:37,chat_opened,S88132,iOS,CENTRAL,477,1
AE00071,C0565,O01092,11/10/2024 6:33,chat_opened,S38006,iOS,EAST,300,1
AE00072,C0006,O00802,10/11/2025 23:09,track_order,S37414,Android,Ctr,155,1
AE00073,C0521,,20/08/2025 22:37,cancel_attempt,S18062,Web,AIRPORT,392,1
AE00074,C0522,,13/04/2025 0:33,chat_opened,S11111,iOS,Airport,347,1
AE00075,C0439,O00245,22/09/2024 13:20,delivery_instruction_update,S47526,iOS,AIRPORT,463,1
AE00076,C0221,O01006,19/04/2025 7:46,delivery_instruction_update,S50746,Android,EAST,1005,1
AE00077,C0549,O01026,12/06/2024 20:18,search_route,S59198,iOS,East,546,1
AE00078,C0328,,30/04/2025 19:26,eta_refresh,S67487,Android,AIRPORT,853,1
AE00079,C0371,O00950,28/02/2025 12:58,delivery_instruction_update,S75895,iOS,RiverSide,646,1
AE00080,C0181,O00757,08/01/2024 1:12,search_route,S51497,Android,SOUTH,783,1
AE00081,C0182,O00976,14/05/2024 22:41,track_order,S96252,Android,WEST,422,1
AE00082,C0231,O00506,03/12/2025 0:20,search_route,S46240,iOS,East,60,1
AE00083,C0215,O00602,12/09/2024 22:25,track_order,S29184,iOS,East,265,1
AE00084,C0021,O01124,22/02/2024 2:18,delivery_instruction_update,S65491,iOS,South,688,1
AE00085,C0634,O01212,20/03/2024 7:47,delivery_instruction_update,S30667,Android,Airport,843,1
AE00086,C0256,,16/03/2024 1:54,search_route,S82272,iOS,South,813,1
AE00087,C0218,O00386,27/06/2024 1:58,search_route,S21479,Android,RiverSide,401,1
AE00088,C0157,,12/06/2024 21:08,chat_opened,S21347,Android,NORTH,561,1
AE00089,C0637,O00619,02/01/2024 17:18,search_route,S54109,Web,north,60,1
AE00090,C0044,O00078,17/07/2025 23:08,payment_retry,S76455,Android,north,820,1
AE00091,C0204,O00772,06/12/2025 6:51,chat_escalated,S24981,iOS,East,610,1
AE00092,C0129,O00080,22/04/2025 23:16,eta_refresh,S30798,Android,Ctr,522,1
AE00093,C0025,O00405,13/02/2024 15:40,payment_retry,S57429,iOS,EAST,440,1
AE00094,C0010,,01/08/2025 11:56,track_order,S78031,iOS,South,573,1
AE00095,C0428,O01057,16/05/2025 1:12,delivery_instruction_update,S81735,Web,WEST,399,1
AE00096,C0424,O00426,07/02/2025 0:14,track_order,S50881,Web,East,562,1
AE00097,C0468,O00460,10/06/2025 4:05,payment_retry,S77602,Android,Riverside,404,0
AE00098,C0101,,31/01/2025 14:10,chat_escalated,S89859,iOS,RiverSide,401,1
AE00099,C0095,O00709,25/04/2024 0:36,payment_retry,S33955,Android,RiverSide,138,1
AE00100,C0312,,29/05/2024 17:36,chat_escalated,S86296,Android,Airport,137,0
AE00101,C0149,,08/08/2025 19:08,cancel_attempt,S34862,Web,Central,618,1
AE00102,C0272,O01227,13/05/2025 9:40,chat_escalated,S62522,Android,East,982,1
AE00103,C0306,O00114,02/10/2025 10:34,payment_retry,S19712,Web,NORTH,551,1
AE00104,C0429,O00170,19/03/2024 16:37,chat_opened,S25315,Android,RiverSide,649,1
AE00105,C0540,O00428,28/05/2024 5:14,cancel_attempt,S64900,iOS,Riverside,153,1
AE00106,C0360,O01144,25/01/2025 13:47,search_route,S96181,Android,South,216,1
AE00107,C0081,O00858,24/01/2024 3:08,chat_escalated,S34476,Android,North,449,0
AE00108,C0307,,27/11/2024 16:15,eta_refresh,S13993,Web,Ctr,1285,1
AE00109,C0114,O00393,17/07/2024 12:02,eta_refresh,S22089,Android,AIRPORT,533,1
AE00110,C0382,O00099,03/07/2024 2:04,delivery_instruction_update,S87255,Web,Ctr,209,1
AE00111,C0565,O00055,06/02/2025 3:15,cancel_attempt,S80723,Android,RiverSide,219,1
AE00112,C0259,O00051,24/04/2025 8:45,search_route,S67232,Android,CENTRAL,602,1
AE00113,C0540,O01132,27/02/2024 18:25,search_route,S21806,Android,WEST,510,1
AE00114,C0135,O00217,02/06/2025 18:48,eta_refresh,S46677,iOS,WEST,464,1
AE00115,C0012,O00781,29/12/2025 23:12,track_order,S41963,iOS,north,546,1
AE00116,C0237,O00033,16/07/2024 5:19,eta_refresh,S56150,iOS,Ctr,422,1
AE00117,C0122,O00043,11/04/2024 11:39,track_order,S18818,Android,north,387,1
AE00118,C0459,O00059,12/07/2024 20:41,track_order,S52877,Android,NORTH,629,1
AE00119,C0153,O00021,13/01/2024 16:25,track_order,S89481,Web,north,628,1
AE00120,C0429,O00367,09/08/2024 8:11,delivery_instruction_update,S53741,Android,Ctr,1218,1
AE00121,C0451,O00857,30/09/2025 3:14,payment_retry,S19782,Android,WEST,862,0
AE00122,C0178,O00979,16/07/2025 15:36,eta_refresh,S68778,iOS,EAST,312,1
AE00123,C0250,O00011,15/11/2024 6:53,payment_retry,S15600,Android,CENTRAL,1558,1
AE00124,C0348,,06/03/2025 23:34,eta_refresh,S29360,Android,EAST,537,1
AE00125,C0430,O01083,22/06/2025 18:22,delivery_instruction_update,S35887,Android,SOUTH,510,1
AE00126,C0343,O00847,13/12/2024 22:02,eta_refresh,S81938,iOS,Central,433,1
AE00127,C0135,O01205,12/11/2025 1:05,track_order,S33676,Web,WEST,299,1
AE00128,C0139,,21/03/2025 11:03,chat_opened,S89566,Android,RiverSide,302,1
AE00129,C0234,O01211,28/08/2024 20:20,search_route,S11783,Android,South,304,1
AE00130,C0499,O00863,12/01/2024 22:22,delivery_instruction_update,S63325,Android,EAST,286,1
AE00131,C0344,O00395,09/12/2025 5:51,eta_refresh,S40076,Android,EAST,751,1
AE00132,C0504,O00741,30/04/2024 13:14,chat_opened,S11696,Android,WEST,375,1
AE00133,C0119,,13/10/2025 19:59,eta_refresh,S63204,Android,WEST,512,1
AE00134,C0074,O00216,31/12/2024 16:38,eta_refresh,S31994,Android,Airport,368,1
AE00135,C0447,O00395,03/05/2025 11:11,chat_opened,S28174,iOS,EAST,418,1
AE00136,C0324,,05/09/2025 10:01,payment_retry,S41186,Android,East,491,1
AE00137,C0318,O00669,19/07/2024 21:36,search_route,S42305,Android,North,289,1
AE00138,C0495,O00863,04/07/2024 3:28,delivery_instruction_update,S41862,iOS,SOUTH,641,1
AE00139,C0589,O01195,06/04/2024 9:08,track_order,S18650,iOS,SOUTH,263,1
AE00140,C0026,O00312,30/07/2024 22:16,track_order,S35078,iOS,WEST,639,1
AE00141,C0644,O00956,21/07/2024 16:03,track_order,S51247,Android,Ctr,901,1
AE00142,C0005,O00103,18/04/2024 4:39,track_order,S33250,Android,WEST,187,1
AE00143,C0025,O00124,18/07/2024 18:59,cancel_attempt,S88076,Android,AIRPORT,1039,1
AE00144,C0347,O00708,08/10/2024 10:04,eta_refresh,S80449,Android,north,648,1
AE00145,C0062,O01049,31/08/2024 23:03,delivery_instruction_update,S88111,iOS,CENTRAL,159,1
AE00146,C0228,O00311,02/08/2025 23:18,track_order,S69169,Android,NORTH,275,1
AE00147,C0128,O00020,28/09/2024 14:16,track_order,S54633,iOS,CENTRAL,836,1
AE00148,C0634,,16/07/2025 13:16,track_order,S69151,Android,AIRPORT,263,1
AE00149,C0236,O00733,04/03/2024 12:19,delivery_instruction_update,S97668,Android,East,191,1
AE00150,C0207,O00017,02/12/2025 8:49,cancel_attempt,S30266,Android,SOUTH,118,1
AE00151,C0472,O00129,24/11/2024 20:48,search_route,S28386,Android,AIRPORT,1035,1
AE00152,C0134,O00890,28/10/2025 12:42,payment_retry,S79279,iOS,East,609,1
AE00153,C0540,,28/10/2024 3:03,search_route,S92690,Android,Ctr,360,1
AE00154,C0096,O00813,03/04/2025 0:09,track_order,S26942,iOS,Riverside,187,1
AE00155,C0256,O01136,19/06/2025 5:14,search_route,S78880,iOS,EAST,780,1
AE00156,C0004,O00998,12/05/2025 19:56,chat_opened,S19094,Android,NORTH,618,1
AE00157,C0568,O01041,05/07/2025 7:53,chat_opened,S94050,Android,East,669,1
AE00158,C0444,O00239,01/05/2024 10:17,track_order,S64444,Android,SOUTH,558,1
AE00159,C0057,O01073,10/10/2025 1:20,search_route,S80676,Android,South,100,1
AE00160,C0351,,12/09/2025 22:47,chat_opened,S51613,Android,CENTRAL,264,1
AE00161,C0308,O00031,16/06/2024 16:40,search_route,S73430,iOS,EAST,635,1
AE00162,C0277,,19/10/2024 12:25,cancel_attempt,S90878,iOS,RiverSide,477,1
AE00163,C0159,O00703,30/05/2025 3:46,search_route,S29863,Android,SOUTH,586,1
AE00164,C0028,O00547,13/10/2025 18:52,eta_refresh,S21845,Android,WEST,330,1
AE00165,C0211,O01203,20/11/2024 0:04,track_order,S42312,iOS,WEST,141,1
AE00166,C0152,,21/08/2024 15:08,chat_escalated,S45482,iOS,SOUTH,60,1
AE00167,C0327,,24/05/2024 8:39,track_order,S97782,Android,Central,450,1
AE00168,C0428,O00991,13/11/2024 12:22,track_order,S94225,Android,Central,160,1
AE00169,C0236,O01007,20/09/2025 0:31,payment_retry,S31565,Android,AIRPORT,252,1
AE00170,C0602,,24/05/2025 11:07,track_order,S40147,iOS,WEST,642,1
AE00171,C0219,,05/12/2024 1:18,chat_opened,S45451,iOS,AIRPORT,659,1
AE00172,C0636,,27/10/2024 2:36,eta_refresh,S15954,iOS,WEST,564,1
AE00173,C0604,O00323,12/05/2024 11:14,eta_refresh,S59591,Web,West,772,1
AE00174,C0516,,17/10/2024 18:43,track_order,S79217,iOS,West,418,1
AE00175,C0027,O00040,22/03/2025 9:30,chat_opened,S27542,iOS,North,828,1
AE00176,C0443,O00475,19/04/2025 23:45,track_order,S99435,iOS,East,530,1
AE00177,C0431,,20/10/2025 4:30,chat_opened,S90018,Android,Airport,338,1
AE00178,C0022,,23/05/2024 5:09,delivery_instruction_update,S15462,Android,East,186,1
AE00179,C0634,O00605,20/04/2024 23:19,delivery_instruction_update,S52206,Android,NORTH,231,1
AE00180,C0003,O00599,05/04/2024 22:39,cancel_attempt,S48720,Android,AIRPORT,282,1
AE00181,C0602,,15/08/2024 12:23,chat_opened,S38965,iOS,East,413,1
AE00182,C0438,O01213,26/04/2025 9:51,eta_refresh,S29723,Android,WEST,328,1
AE00183,C0227,,07/04/2024 12:16,payment_retry,S65322,iOS,RiverSide,76,1
AE00184,C0383,O00290,28/06/2025 12:11,eta_refresh,S10919,Android,AIRPORT,673,1
AE00185,C0540,O00636,01/01/2024 4:02,payment_retry,S50299,Web,EAST,550,1
AE00186,C0297,O00033,09/01/2024 21:50,delivery_instruction_update,S98196,Web,AIRPORT,811,1
AE00187,C0500,,03/04/2024 4:53,track_order,S84399,iOS,RiverSide,516,1
AE00188,C0576,,10/03/2025 15:20,chat_opened,S72332,iOS,SOUTH,376,1
AE00189,C0491,O00686,03/08/2024 12:43,chat_opened,S98299,iOS,CENTRAL,320,1
AE00190,C0006,O00220,25/12/2024 13:57,track_order,S89254,Web,West,407,1
AE00191,C0559,O00582,06/03/2024 18:13,search_route,S57395,Android,Ctr,304,1
AE00192,C0415,O00091,04/04/2025 13:39,eta_refresh,S25456,Web,Riverside,238,1
AE00193,C0558,O00320,10/08/2024 19:31,payment_retry,S70607,iOS,AIRPORT,1701,1
AE00194,C0502,,13/04/2025 13:31,track_order,S92171,Web,Riverside,291,1
AE00195,C0182,O00489,12/02/2024 12:39,track_order,S88300,iOS,RiverSide,553,1
AE00196,C0308,O01227,18/07/2024 11:53,payment_retry,S74695,iOS,Airport,280,0
AE00197,C0287,,05/01/2024 9:57,track_order,S12792,iOS,South,222,1
AE00198,C0229,,10/11/2025 12:31,payment_retry,S61126,iOS,RiverSide,321,1
AE00199,C0458,O00502,05/03/2025 9:23,track_order,S54839,Android,East,794,1
AE00200,C0422,O00420,13/11/2025 1:11,eta_refresh,S20454,Android,RiverSide,574,1
AE00201,C0139,O00783,12/08/2024 8:07,eta_refresh,S79498,Android,WEST,60,1
AE00202,C0190,O00008,31/12/2024 22:36,track_order,S46827,Android,Riverside,747,1
AE00203,C0050,O01110,28/11/2024 23:16,eta_refresh,S88874,iOS,north,792,1
AE00204,C0370,O00390,21/10/2025 12:12,search_route,S14150,iOS,Airport,414,1
AE00205,C0565,O01188,02/12/2025 17:43,search_route,S65549,iOS,West,521,1
AE00206,C0540,O00860,10/08/2025 13:22,track_order,S41049,iOS,CENTRAL,423,1
AE00207,C0611,O00360,30/09/2025 5:26,track_order,S85216,iOS,North,443,1
AE00208,C0492,O00439,18/07/2024 8:06,delivery_instruction_update,S14892,iOS,East,729,1
AE00209,C0311,O00549,25/06/2025 21:11,search_route,S69288,iOS,EAST,479,1
AE00210,C0066,O00764,17/10/2025 10:22,track_order,S97799,Android,north,610,1
AE00211,C0154,O00597,10/03/2025 18:31,chat_opened,S23758,iOS,North,273,1
AE00212,C0050,O00656,09/12/2024 2:17,chat_escalated,S30429,Web,Airport,474,0
AE00213,C0165,O00825,31/12/2025 1:59,cancel_attempt,S21498,Android,WEST,337,1
AE00214,C0036,O00929,19/11/2024 16:32,chat_escalated,S95975,iOS,CENTRAL,60,1
AE00215,C0408,,04/11/2024 12:36,eta_refresh,S99032,Web,RiverSide,753,1
AE00216,C0353,O00689,15/02/2025 6:05,track_order,S56502,Android,West,193,1
AE00217,C0489,O00452,22/04/2024 18:38,track_order,S41923,iOS,East,523,1
AE00218,C0638,O00997,11/07/2024 7:41,search_route,S93085,Android,Airport,137,1
AE00219,C0495,O00473,06/11/2024 10:57,cancel_attempt,S46630,iOS,CENTRAL,371,1
AE00220,C0469,O00413,02/10/2025 15:05,search_route,S61687,iOS,Airport,1046,1
AE00221,C0309,O01074,16/08/2025 1:12,delivery_instruction_update,S93181,Android,WEST,584,1
AE00222,C0511,O00539,13/09/2024 9:38,search_route,S16455,Android,West,606,1
AE00223,C0506,,05/01/2025 2:35,eta_refresh,S19581,Android,Riverside,717,1
AE00224,C0611,,03/12/2025 15:48,chat_escalated,S69785,Android,NORTH,433,1
AE00225,C0105,O00659,03/07/2025 18:05,search_route,S69038,Android,South,401,1
AE00226,C0259,O00918,10/07/2025 21:37,track_order,S12105,Android,Central,581,1
AE00227,C0194,O00918,11/06/2024 2:54,delivery_instruction_update,S26318,iOS,Riverside,241,1
AE00228,C0220,O01213,18/03/2024 10:58,track_order,S31464,Android,north,261,1
AE00229,C0392,O00450,29/01/2024 3:08,track_order,S32859,iOS,RiverSide,484,1
AE00230,C0467,O00698,02/06/2025 0:55,payment_retry,S79237,Web,WEST,368,1
AE00231,C0375,O00188,28/02/2024 0:09,chat_opened,S62538,iOS,Riverside,394,1
AE00232,C0475,O00336,10/06/2025 10:39,chat_opened,S19410,iOS,North,614,1
AE00233,C0144,O00990,06/09/2025 23:35,search_route,S25207,Web,SOUTH,440,1
AE00234,C0447,O00068,16/05/2025 4:24,search_route,S16617,iOS,CENTRAL,718,1
AE00235,C0102,O00065,28/07/2024 16:08,track_order,S32192,Android,EAST,531,1
AE00236,C0215,O00722,23/08/2024 22:05,payment_retry,S66874,iOS,Airport,478,1
AE00237,C0375,O00581,26/05/2024 13:58,eta_refresh,S75980,Android,EAST,339,1
AE00238,C0611,O00098,30/10/2024 2:43,delivery_instruction_update,S27480,Web,Airport,321,1
AE00239,C0291,O00746,15/03/2025 3:20,chat_escalated,S83143,iOS,RiverSide,215,1
AE00240,C0109,O00771,08/12/2025 3:46,chat_opened,S68728,Android,Ctr,895,1
AE00241,C0024,O00814,28/06/2024 6:51,chat_opened,S22478,iOS,RiverSide,624,1
AE00242,C0070,O00627,18/04/2024 10:54,delivery_instruction_update,S59972,iOS,CENTRAL,792,1
AE00243,C0217,O00878,05/07/2024 13:59,chat_opened,S89574,Android,north,646,1
AE00244,C0355,O01236,17/02/2024 0:42,chat_escalated,S49312,Android,East,487,0
AE00245,C0159,O00570,25/06/2025 22:42,search_route,S22380,Web,SOUTH,757,1
AE00246,C0173,O00188,26/09/2025 8:26,search_route,S73690,iOS,EAST,490,1
AE00247,C0056,,04/05/2025 18:58,delivery_instruction_update,S49126,Android,East,734,1
AE00248,C0558,O01118,14/02/2024 7:02,payment_retry,S95292,iOS,RiverSide,488,1
AE00249,C0120,,20/10/2025 11:10,payment_retry,S60781,Android,South,591,0
AE00250,C0409,,20/03/2024 14:32,delivery_instruction_update,S80264,Web,Riverside,553,1
AE00251,C0623,O00162,16/02/2024 23:07,payment_retry,S96369,Android,CENTRAL,375,1
AE00252,C0202,O00936,24/04/2024 5:08,track_order,S97343,iOS,AIRPORT,278,1
AE00253,C0485,O01098,13/12/2025 20:05,chat_escalated,S76383,Android,WEST,799,1
AE00254,C0419,O00265,19/03/2024 5:42,track_order,S69799,iOS,East,543,1
AE00255,C0563,O00972,11/04/2024 10:46,payment_retry,S15134,Android,Central,376,1
AE00256,C0447,O00220,08/10/2025 16:41,delivery_instruction_update,S35671,Android,South,466,1
AE00257,C0643,,16/07/2025 12:39,eta_refresh,S34258,iOS,Ctr,545,1
AE00258,C0489,O00812,24/09/2025 21:15,payment_retry,S53794,Web,RiverSide,60,0
AE00259,C0055,O01208,21/06/2025 16:57,delivery_instruction_update,S66374,iOS,West,247,1
AE00260,C0109,O00932,25/10/2024 12:28,cancel_attempt,S74608,Web,Airport,350,1
AE00261,C0433,O00167,10/02/2025 10:12,search_route,S51615,Android,Riverside,236,1
AE00262,C0079,O00532,21/12/2024 16:48,search_route,S78668,Web,East,392,1
AE00263,C0330,O01163,14/02/2024 18:08,track_order,S98156,Web,RiverSide,60,1
AE00264,C0134,,25/02/2024 19:03,track_order,S46151,iOS,WEST,60,1
AE00265,C0192,O01137,06/11/2024 3:00,chat_opened,S53981,Android,Central,1240,1
AE00266,C0378,O00856,12/12/2024 10:44,search_route,S22322,Android,Airport,536,1
AE00267,C0473,,19/09/2024 5:09,eta_refresh,S55731,iOS,Riverside,542,1
AE00268,C0377,O01202,04/05/2024 16:58,eta_refresh,S22564,iOS,WEST,429,1
AE00269,C0325,O00863,15/08/2025 22:29,delivery_instruction_update,S64498,Android,Riverside,304,1
AE00270,C0578,O00326,09/09/2025 1:15,chat_opened,S29661,Android,AIRPORT,503,1
AE00271,C0322,O01193,19/10/2025 21:23,search_route,S43982,Web,NORTH,627,1
AE00272,C0338,O01203,02/03/2025 4:57,eta_refresh,S33897,iOS,East,190,1
AE00273,C0433,O01067,28/05/2024 5:11,track_order,S48118,Web,Riverside,134,1
AE00274,C0049,O01167,27/09/2025 15:25,track_order,S94086,Android,Riverside,495,1
AE00275,C0485,O00676,12/06/2024 17:54,delivery_instruction_update,S57005,Android,North,279,1
AE00276,C0111,O01221,21/01/2025 11:43,search_route,S73488,Android,South,300,1
AE00277,C0580,O00409,26/12/2024 15:48,payment_retry,S59602,Android,WEST,552,0
AE00278,C0337,O01073,12/11/2024 3:16,chat_opened,S88214,Android,Ctr,421,1
AE00279,C0112,O01215,20/02/2025 21:24,track_order,S90848,Android,NORTH,582,1
AE00280,C0456,O00907,31/12/2025 18:05,track_order,S12463,iOS,NORTH,251,1
AE00281,C0310,O00397,06/03/2024 12:05,search_route,S39460,Android,South,457,1
AE00282,C0234,,08/08/2024 19:03,chat_opened,S29738,iOS,West,1007,1
AE00283,C0589,O00589,19/09/2024 14:25,payment_retry,S32645,Android,SOUTH,362,1
AE00284,C0604,O00371,26/10/2025 11:28,search_route,S76025,Android,East,60,1
AE00285,C0440,O00539,25/12/2025 16:11,search_route,S17327,iOS,Airport,414,1
AE00286,C0358,,18/02/2024 7:54,search_route,S60811,iOS,CENTRAL,364,1
AE00287,C0573,O00074,02/05/2024 5:45,search_route,S30431,Android,East,571,1
AE00288,C0273,O00480,21/07/2025 17:12,cancel_attempt,S63671,Android,north,60,1
AE00289,C0207,O00654,02/03/2024 10:12,payment_retry,S19707,Android,RiverSide,343,1
AE00290,C0399,O00951,01/08/2025 22:46,delivery_instruction_update,S84446,Android,East,457,1
AE00291,C0312,O00330,17/12/2024 21:44,track_order,S95883,Android,WEST,405,1
AE00292,C0520,O00929,16/10/2025 23:21,eta_refresh,S72274,iOS,north,60,1
AE00293,C0073,O00609,10/07/2024 13:17,chat_escalated,S78813,Android,WEST,1074,1
AE00294,C0492,O00876,27/11/2025 2:21,track_order,S33068,Android,WEST,405,1
AE00295,C0449,O01002,30/03/2025 0:14,payment_retry,S13138,Android,WEST,246,1
AE00296,C0471,O00635,30/06/2025 16:35,eta_refresh,S10325,Android,RiverSide,187,1
AE00297,C0411,O01163,25/03/2025 1:02,payment_retry,S30130,iOS,Central,565,1
AE00298,C0107,O01189,14/06/2025 12:47,track_order,S71004,iOS,EAST,78,1
AE00299,C0451,,27/03/2025 21:53,eta_refresh,S92082,Web,South,529,1
AE00300,C0014,O00867,16/08/2024 0:18,eta_refresh,S10509,Android,NORTH,214,1
AE00301,C0503,,15/04/2024 18:05,eta_refresh,S91821,iOS,NORTH,294,1
AE00302,C0555,O00728,31/03/2025 12:56,chat_opened,S23029,Web,NORTH,692,1
AE00303,C0274,O00142,01/01/2025 7:52,cancel_attempt,S47090,Web,SOUTH,233,1
AE00304,C0401,O00211,25/10/2025 4:43,search_route,S24776,Web,North,324,1
AE00305,C0428,O00667,12/02/2024 16:22,eta_refresh,S55317,iOS,EAST,226,1
AE00306,C0401,O00753,28/08/2024 19:44,chat_escalated,S68086,iOS,EAST,265,1
AE00307,C0173,O00956,09/01/2025 16:55,chat_escalated,S58130,Android,Ctr,270,0
AE00308,C0182,O00880,01/04/2025 8:58,eta_refresh,S58033,iOS,Ctr,535,1
AE00309,C0169,O01161,15/12/2024 6:35,delivery_instruction_update,S21517,Android,West,295,1
